,instance_id,label,success_rate,total_success,raw_image_breadth,norm_image_breadth,num_imgs,N,distance
0,400,space,1.0,44,16030,16030,22,2,4.3986735941810275
1,400,wide,0.888888889,16,31482,31482,8,2,
2,400,x,0.833333333,20,162606,86604,10,2,6.5534885699764756
3,401,anthea,1.0,16,3452,3452,8,2,1.890509632177914
4,401,crab,1.0,16,1954,1954,8,2,1.9709182512153032
5,401,hover,1.0,20,12575,12575,10,2,2.804066170803961
6,402,bunny,0.869565217,40,32239,32239,20,2,3.1816654849665524
7,402,frog,1.0,28,3185,1078,14,2,5.76179765981946
8,402,vase,0.923076923,24,2988,2988,12,2,4.919035985013849
9,403,bell,0.9,18,2533,2533,9,2,4.51194657780105
10,403,btrfly,1.0,18,2659,2659,9,2,4.04840446256352
11,403,spread,0.909090909,20,5598,4610,10,2,3.236816521132106
12,405,ball,1.0,16,323265,21483,8,2,9.733791389317856
13,405,crab,1.0,18,10585,4784,9,2,5.129832129495948
14,405,rabbit,0.888888889,16,36136,36136,8,2,0.0
15,406,book,0.866666667,26,5459,5459,13,2,7.002653319324352
16,406,happy,0.888888889,16,48379,45359,8,2,6.629323558868346
17,406,kiss,1.0,20,2357,2357,10,2,7.19105997272404
18,407,blowup,1.0,22,2279,2279,11,2,4.758653464040095
19,407,boxer,1.0,18,6253,2718,9,2,4.796824660388283
20,407,kickb,1.0,16,3755,3755,8,2,
21,409,crab,1.0,20,3106,3106,10,2,5.10232704669017
22,409,win,1.0,8,232,232,4,2,8.676394873391638
23,409,woman,1.0,10,574,574,5,2,
24,708,crab,0.916666667,154,5588,3541,65,24,5.1837422285917025
25,708,frog,0.917647059,156,4208,1513,67,24,5.08917915033085
26,708,whale,0.909090909,60,1401,1401,27,24,4.146510093232528
27,716,bunny,0.767857143,86,44816,44816,41,24,
28,716,crab,0.853146853,244,11289,8344,104,24,4.541152789240442
29,716,frog,0.916666667,110,5758,2235,52,24,
30,717,couch,0.891304348,82,2682,2682,39,24,4.2259186023234765
31,717,crab,0.927536232,128,8522,5792,54,24,5.298924315504367
32,717,frog,0.86,86,4594,1613,40,24,4.640597095770988
33,718,crab,0.873015873,110,3768,2556,45,24,5.0840205822473585
34,718,frog,0.929577465,132,4152,1494,59,24,
35,718,rabbit,0.928571429,52,2469,2469,24,24,
36,727,ball,0.88372093,76,266682,22464,37,24,4.688310352011113
37,727,crab,0.92,138,8918,6657,60,24,5.1022819784038695
38,727,frog,0.903225806,168,5689,2208,72,24,4.961634800246361
39,728,bunny,0.863636364,152,42801,42573,68,24,3.9031242442826914
40,728,crab,0.91954023,160,4655,4605,68,24,4.503165277852139
41,728,frog,0.90625,116,5680,1848,53,24,5.763820269017023
42,410,crab,0.875,28,12423,7007,14,6,3.650457561795536
43,410,down,1.0,26,3432,3432,12,6,6.359225523064254
44,410,frog,1.0,34,6571,3005,17,6,4.475242819968782
45,411,crab,0.894736842,34,8874,5313,17,6,4.7552761632377045
46,411,frog,1.0,74,4397,1944,34,6,4.450288669120756
47,411,rabbit,0.85,34,1490,1490,16,6,4.4176496038484325
48,412,bench,0.846153846,44,4421,4421,21,6,3.980520255661957
49,412,bunny,0.833333333,30,31041,31041,15,6,4.268529147805561
50,412,crab,0.947368421,36,9062,5143,18,6,4.262734668877775
51,413,couch,0.894736842,34,4048,4048,17,6,4.290986707431739
52,413,v,1.0,24,4864,4864,12,6,4.769987818199989
53,413,vee,0.904761905,38,3869,3869,19,6,4.008216693423669
54,414,bunny,1.0,34,42095,42095,16,6,4.029352763294014
55,414,hole,0.894736842,34,9996,9996,16,6,5.532781879268469
