"N","instance_id","label","node_id","total_success","success_rate","label_freq_rank","definition","raw_image_breadth","norm_image_breadth","num_imgs","min_img","max_img","num_adopters","prop_adopters"
2,400,"space",15245,44,1,1,"Gap",16030,16030,22,996,1393,2,1
2,400,"space",15414,44,1,1,"A gap within a continuous object",16030,16030,22,996,1393,2,1
2,400,"wide",15245,16,0.888888889,3,"Lengthy",31482,31482,8,61,685,2,1
2,400,"wide",15414,16,0.888888889,3,"A shape that spans furthest left to right.",31482,31482,8,61,685,2,1
2,400,"x",15245,20,0.833333333,2,"Cross",162606,86604,10,31,909,2,1
2,400,"x",15414,20,0.833333333,2,"Something that has two shapes up and two down.",162606,86604,10,31,909,2,1
2,401,"anthea",38378,16,1,3,"Its close to ""ant head"" which is what the shape looked like",3452,3452,8,814,970,2,1
2,401,"anthea",38732,16,1,3,"The shape resembled an ant head.",3452,3452,8,814,970,2,1
2,401,"crab",38378,16,1,2,"When the object looked like it had two feet and two pincers like a crab",1954,1954,8,541,648,2,1
2,401,"crab",38732,16,1,2,"The shape looked like a crab",1954,1954,8,541,648,2,1
2,401,"hover",38378,20,1,1,"Anytime the ball shape was hovering above an object",12575,12575,10,26,362,2,1
2,401,"hover",38732,20,1,1,"The ball was above the shape, not touching.",12575,12575,10,26,362,2,1
2,402,"bunny",14147,40,0.869565217,1,"Big floppy ear rabbit",32239,32239,20,820,1381,2,1
2,402,"bunny",14798,40,0.869565217,1,"Long ears and oval face",32239,32239,20,820,1381,2,1
2,402,"frog",14147,28,1,2,"Green amphibian that swims",3185,1078,14,647,846,2,1
2,402,"frog",14798,28,1,2,"Body with four legs",3185,1078,14,647,846,2,1
2,402,"vase",14147,24,0.923076923,3,"Holds flowers or decorative",2988,2988,12,1009,1185,2,1
2,402,"vase",14798,24,0.923076923,3,"A woman shaped",2988,2988,12,1009,1185,2,1
2,403,"bell",38067,18,0.9,2,"It is somewhat narrow and has a little ringer on the bottom",2533,2533,9,1314,1461,2,1
2,403,"bell",38078,18,0.9,2,"Metal dome shaped object that rings",2533,2533,9,1314,1461,2,1
2,403,"btrfly",38067,18,1,3,"It has wings spread out and a head",2659,2659,9,186,361,2,1
2,403,"btrfly",38078,18,1,3,"Symmetrical insect with wings",2659,2659,9,186,361,2,1
2,403,"spread",38067,20,0.909090909,1,"It looks like arms that are far out.",5598,4610,10,555,770,2,1
2,403,"spread",38078,20,0.909090909,1,"Items moved apart",5598,4610,10,555,770,2,1
2,405,"ball",14733,16,1,2,"furniture",323265,21483,8,53,1460,2,1
2,405,"ball",15006,16,1,2,"Something holding something on top of it.",323265,21483,8,53,1460,2,1
2,405,"crab",14733,18,1,1,"animal with two angled arms",10585,4784,9,517,850,2,1
2,405,"crab",15006,18,1,1,"Something wide, with arms.",10585,4784,9,517,850,2,1
2,405,"rabbit",14733,16,0.888888889,3,"Floppy ears",36136,36136,8,805,1418,2,1
2,405,"rabbit",15006,16,0.888888889,3,"Something with droopy or floppy ears.",36136,36136,8,805,1418,2,1
2,406,"book",14221,26,0.866666667,1,"Large",5459,5459,13,133,433,2,1
2,406,"book",14774,26,0.866666667,1,"A flat v-shape",5459,5459,13,133,433,2,1
2,406,"happy",14221,16,0.888888889,3,"Enjoy",48379,45359,8,72,791,2,1
2,406,"happy",14774,16,0.888888889,3,"Two fists in the air",48379,45359,8,72,791,2,1
